country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
United States of America,US,USA,840,Rural,2,Flush and pour flush - to septic tank,0.677,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,3,Flush and pour flush - to pit,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,5,Flush and pour flush - to elsewhere,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,8,Dry latrines - Traditional latrine,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,11,Dry latrines - Bucket latrine,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,12,Dry latrines - Other,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,13,Composting toilets,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,14,Other improved,0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,15,"No facility, bush, field",0.0,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,16,Other unimproved,0.001,2013 American Housing Survey - AHS13
United States of America,US,USA,840,Rural,17,DK/missing information,0.0,2013 American Housing Survey - AHS13
