country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
French Guiana,GF,GUF,254,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2008 - CEN08
French Guiana,GF,GUF,254,National,11,Dry latrines - Bucket latrine,0.0,CENSUS 2008 - CEN08
French Guiana,GF,GUF,254,National,12,Dry latrines - Other,0.0,CENSUS 2008 - CEN08
French Guiana,GF,GUF,254,National,13,Composting toilets,0.0,CENSUS 2008 - CEN08
French Guiana,GF,GUF,254,National,14,Other improved,0.0,CENSUS 2008 - CEN08
French Guiana,GF,GUF,254,National,15,"No facility, bush, field",0.0,CENSUS 2008 - CEN08
French Guiana,GF,GUF,254,National,16,Other unimproved,0.0,CENSUS 2008 - CEN08
French Guiana,GF,GUF,254,National,17,DK/missing information,0.0,CENSUS 2008 - CEN08
French Guiana,GF,GUF,254,Urban,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,2,Flush and pour flush - to septic tank,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,3,Flush and pour flush - to pit,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,8,Dry latrines - Traditional latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2009 - CEN09
