iso,gid,iso3,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,sheddingRate_virus,shedding_duration_virus,incidence_urban_under5_virus,incidence_urban_5plus_virus,incidence_rural_under5_virus,incidence_rural_5plus_virus,sheddingRate_protozoa,shedding_duration_protozoa,incidence_urban_under5_protozoa,incidence_urban_5plus_protozoa,incidence_rural_under5_protozoa,incidence_rural_5plus_protozoa,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,onsiteDumpedland_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,onsiteDumpedland_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa
1,UGA.16.1.1_1,UGA,Central Division,0.493,63206,1,0.177278887,1.00E+10,7,0.24,0.08,0.24,0.08,1.00E+09,7,0.24,0.08,0.24,0.08,0.263426061,0.202395075,0.057237316,0.012221734,0.007753772,0.41097414,0.02447696,0.006835904,0,0,0,0.011578119,0.003100918,0,1,0.436780403,0,0.733457483,3,0,0.006835904,0.1,0.1,0.263426061,0.202395075,0.057237316,0.012221734,0.007753772,0.41097414,0.02447696,0.006835904,0,0,0,0.011578119,0.003100918,0,1,0.436780403,0,0.733457483,3,0,0.006835904,0,0,0.067307692,0.067307692,0,0.865384615,0.971153845,0.950961538,0.5,0.25
2,UGA.16.1.2_1,UGA,Kawempe Division,0.493,333024,1,0.177278887,1.00E+10,7,0.24,0.08,0.24,0.08,1.00E+09,7,0.24,0.08,0.24,0.08,0.036860622,0.142274476,0.057601288,0.001679583,0.00524847,0.736130931,0.014416174,0.00033069,0,0,0.0001061,0.00459866,0.000745624,0,1,0.211244894,0,0.705524168,3,0,0.00033069,0.1,0.1,0.036860622,0.142274476,0.057601288,0.001679583,0.00524847,0.736130931,0.014416174,0.00033069,0,0,0.0001061,0.00459866,0.000745624,0,1,0.211244894,0,0.705524168,3,0,0.00033069,0,0,0.067307692,0.067307692,0,0.865384615,0.971153845,0.950961538,0.5,0.25
3,UGA.16.1.3_1,UGA,Makindye,0.493,385309,1,0.177278887,1.00E+10,7,0.24,0.08,0.24,0.08,1.00E+09,7,0.24,0.08,0.24,0.08,0.028570368,0.259280693,0.082540034,0.003821692,0.017477095,0.574689697,0.024289707,0.001400786,0,0,3.45E-05,0.006082428,0.001834099,0,1,0.236410709,0,0.740031033,3,0,0.001400786,0.1,0.1,0.028570368,0.259280693,0.082540034,0.003821692,0.017477095,0.574689697,0.024289707,0.001400786,0,0,3.45E-05,0.006082428,0.001834099,0,1,0.236410709,0,0.740031033,3,0,0.001400786,0,0,0.067307692,0.067307692,0,0.865384615,0.971153845,0.950961538,0.5,0.25
4,UGA.16.1.4_1,UGA,Nakawa Division,0.493,317023,1,0.177278887,1.00E+10,7,0.24,0.08,0.24,0.08,1.00E+09,7,0.24,0.08,0.24,0.08,0.098606697,0.282278627,0.065945258,0.002724668,0.016024352,0.49795729,0.027461236,0.000559863,0,0,0.000678506,0.006932757,0.000831023,0,1,0.190629622,0,0.788037462,3,0,0.000559863,0.1,0.1,0.098606697,0.282278627,0.065945258,0.002724668,0.016024352,0.49795729,0.027461236,0.000559863,0,0,0.000678506,0.006932757,0.000831023,0,1,0.190629622,0,0.788037462,3,0,0.000559863,0,0,0.067307692,0.067307692,0,0.865384615,0.971153845,0.950961538,0.5,0.25
5,UGA.16.1.5_1,UGA,Rubaga Division,0.493,383216,1,0.177278887,1.00E+10,7,0.24,0.08,0.24,0.08,1.00E+09,7,0.24,0.08,0.24,0.08,0.004654201,0.164638786,0.089541423,0.001799026,0.010791608,0.688829209,0.031009589,0.000566465,0,0,2.01E-05,0.003735057,0.004392258,0,1,0.243857358,0,0.98927109,3,0,0.000566465,0.1,0.1,0.004654201,0.164638786,0.089541423,0.001799026,0.010791608,0.688829209,0.031009589,0.000566465,0,0,2.01E-05,0.003735057,0.004392258,0,1,0.243857358,0,0.98927109,3,0,0.000566465,0,0,0.067307692,0.067307692,0,0.865384615,0.971153845,0.950961538,0.5,0.25
