"Country or Area Code","Country or Area","Year","Value","Value Footnotes","Unit"
"40","Austria","1998","99","","%"
"40","Austria","1995","98","","%"
"40","Austria","1990","100","","%"
"31","Azerbaijan","2015","18.8999996185303","","%"
"31","Azerbaijan","2014","18.5","","%"
"31","Azerbaijan","2013","18.3999996185303","","%"
"31","Azerbaijan","2012","14.3999996185303","","%"
"31","Azerbaijan","2011","14.1000003814697","","%"
"31","Azerbaijan","2010","14.1000003814697","","%"
"31","Azerbaijan","2009","14.1000003814697","","%"
"31","Azerbaijan","2008","13.8000001907349","","%"
"31","Azerbaijan","2007","13.8999996185303","","%"
"31","Azerbaijan","2006","13.6000003814697","","%"
"31","Azerbaijan","2005","13.6000003814697","","%"
"31","Azerbaijan","2004","13.5","","%"
"31","Azerbaijan","2003","13.1000003814697","","%"
"48","Bahrain","2015","88","","%"
"48","Bahrain","2014","90","","%"
"48","Bahrain","2013","87","","%"
"48","Bahrain","2012","87","","%"
"48","Bahrain","2011","88","","%"
"48","Bahrain","2010","81","","%"
"48","Bahrain","2009","77","","%"
"48","Bahrain","2008","65","","%"
"48","Bahrain","2007","66","","%"
"48","Bahrain","2006","67","","%"
"48","Bahrain","2005","70","","%"
"48","Bahrain","2004","71","","%"
"48","Bahrain","2003","79","","%"
"48","Bahrain","2002","77","","%"
"48","Bahrain","2001","75","","%"
"48","Bahrain","2000","74","","%"
"48","Bahrain","1999","71","","%"
"48","Bahrain","1998","69","","%"
"48","Bahrain","1997","66","","%"
"48","Bahrain","1996","65","","%"
"48","Bahrain","1995","64","","%"
"48","Bahrain","1990","58","","%"
"50","Bangladesh","2015","2.9300000667572","3","%"
"56","Belgium","2013","95.5500030517578","","%"
"56","Belgium","2012","94.3499984741211","","%"
"56","Belgium","2011","97.1100006103516","","%"
"56","Belgium","2010","95.9199981689453","","%"
"56","Belgium","2009","96.6999969482422","","%"
"56","Belgium","2008","95.5999984741211","","%"
"56","Belgium","2007","97.1999969482422","","%"
"56","Belgium","2006","88","","%"
"56","Belgium","2005","74","","%"
"56","Belgium","2004","72.9000015258789","","%"
"56","Belgium","2003","71.6999969482422","","%"
"56","Belgium","2002","68.9000015258789","","%"
"56","Belgium","2001","68.5999984741211","","%"
"56","Belgium","2000","65","","%"
"56","Belgium","1999","56","","%"
"56","Belgium","1998","55","","%"
"56","Belgium","1997","53","","%"
"56","Belgium","1996","49","","%"
"56","Belgium","1995","39.7999992370605","","%"
"84","Belize","2010","10.5649995803833","","%"
"84","Belize","2000","15.1000003814697","","%"
"70","Bosnia and Herzegovina","2015","3.57999992370605","4","%"
"70","Bosnia and Herzegovina","2014","3.57999992370605","4","%"
"70","Bosnia and Herzegovina","2013","3.57999992370605","4","%"
"70","Bosnia and Herzegovina","2012","3.5699999332428","4","%"
"70","Bosnia and Herzegovina","2011","3.1800000667572","4","%"
"70","Bosnia and Herzegovina","2010","3.03999996185303","4","%"
"70","Bosnia and Herzegovina","2009","2.77999997138977","4","%"
"70","Bosnia and Herzegovina","2008","2.78999996185303","4","%"
"70","Bosnia and Herzegovina","2007","2.16000008583069","4","%"
"70","Bosnia and Herzegovina","2006","2.16000008583069","4","%"
"70","Bosnia and Herzegovina","2005","2.16000008583069","4","%"
"70","Bosnia and Herzegovina","2004","2.16000008583069","4","%"
"70","Bosnia and Herzegovina","2003","2.16000008583069","4","%"
"70","Bosnia and Herzegovina","2002","2.01999998092651","4","%"
"70","Bosnia and Herzegovina","2001","2.01999998092651","4","%"
"70","Bosnia and Herzegovina","2000","2.01999998092651","4","%"
"92","British Virgin Islands","2001","24.5","","%"
"92","British Virgin Islands","1991","17.1000003814697","","%"
"96","Brunei Darussalam","2011","40","","%"
"96","Brunei Darussalam","2004","38","","%"
"100","Bulgaria","2015","86.8000030517578","","%"
"100","Bulgaria","2014","81.879997253418","","%"
