scenario,region,population,excreted,flushSewer,flushSeptic,flushPit,flushOpen,flushUnknown,pitSlab,pitNoSlab,compostingTwinSlab,compostingTwinNoSlab,compostingToilet,bucketLatrine,containerBased,hangingToilet,openDefecation,other,isShared,sewerLeak,emptied,isWatertight,hasLeach,coverBury,emptiedTreatment,emptyFrequency,pitAdditive,flushElsewhere,pitVIP,pitTraditional,otherLatrine,otherImproved,otherUnimproved,dontKnow,pitLined,pitUnlined
baseline,Nabisunsa,430,1.00E+10,0,8.18E-01,0.00E+00,0.00E+00,0,0.18220339,0,0.00E+00,0,0,0.00E+00,0,0,0,0.00E+00,6.07E-02,0.05,0.800847458,0,1,0,0.800847458,3,None,0,0,0,0,0,0,0,0,0.18220339
baseline,Naguru I,4914,1.00E+10,0.281941748,0.083106796,0.038834951,0.001553398,0.002718447,0.310679612,0.237669903,0,0,0,0.00E+00,0,0.003495146,0.04,0,0.4,0.05,0.14604811,0,0.869918699,0,0.140893471,3,None,0,0,0,0,0,0,0,0.044660194,0.50368932
baseline,Naguru II,26777,1.00E+10,0.138377445,0.333045646,0.068085923,0,0.010069045,0.418392789,0.021864212,0,0,0.000863061,0,0,0,0.008055236,0.001246644,4.02E-01,0.05,0.251465284,0,0.854990119,0,0.230162308,3,None,0,0,0,0,0,0,0,0.197545071,0.24357499
baseline,Najjanankumbi I,12123,1.00E+10,0.000348918,0.248778786,0.050418702,0.001570133,0.020760642,0.642707606,0.029134682,0,0,0,0,0,0,0.001744592,0.004535939,4.77E-01,0.05,0.220288326,0,0.78803132,0,0.213607595,3,None,0,0,0,0,0,0,0,0.283496162,0.388346127
baseline,Najjanankumbi II,11570,1.00E+10,0.000881251,0.31372549,0.104648601,0.001321877,0.015642212,0.539325843,0.015642212,0,0,0,0,0,0,0.005287508,0.003525006,4.36E-01,0.05,0.257690593,0,0.77783903,0,0.250111458,3,None,0,0,0,0,0,0,0,0.309319233,0.245648821
baseline,Nakasero II,1795,1.00E+10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,1,0,1,0,1,3,None,0,0,0,0,0,0,0,0,0
baseline,Nakasero IV,793,1.00E+10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,3,None,0,0,0,0,0,0,0,0,0
baseline,Nakawa,1601,1.00E+10,0.007102273,0.038352273,0.034090909,0,0.002840909,0.835227273,0.012784091,0,0,0,0,0,0,0.069602273,0,0.660511364,0.05,0.131578947,0,0.529411765,0,0.119195046,3,None,0,0,0,0,0,0,0,0.178977273,0.669034091
baseline,Nakawa Institute,359,1.00E+10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941176,0.05,0.823529412,0,1,0,0.823529412,3,None,0,0,0,0,0,0,0,0,0
baseline,Nankulabye I,19819,1.00E+10,0.002583608,0.082101335,0.338883307,0.000287068,0.004449548,0.536385819,0.013779245,0,0,0,0,0,0,0.020238266,0.001291804,0.433615616,0.05,0.180294118,0,0.197794379,0,0.174264706,3,None,0,0,0,0,0,0,0,0.185589206,0.364575858
baseline,Namirembe,15492,1.00E+10,0.063819578,0.351247601,0.08037428,0.001679463,0.024472169,0.454174664,0.020393474,0,0,0,0,0,0,0.002399232,0.001439539,0.334452975,0.05,0.232474227,0,0.775917927,0,0.216752577,3,None,0,0,0,0,0,0,0,0.131477927,0.343090211
baseline,Nateete,21861,1.00E+10,0.00102646,0.15625,0.071738139,0.009124088,0.011975365,0.702668796,0.04162865,0,0,0.001368613,0,0,0,0.001824818,0.002395073,0.524520985,0.05,0.270566302,0,0.707291667,0,0.26380797,3,None,0,0,0,0,0,0,0,0.322194343,0.423471715
baseline,Ndeeba,12217,1.00E+10,0,0.165477404,0.082568807,0.002378525,0.010873259,0.667686035,0.059123344,0,0,0,0,0,0.00E+00,0.010873259,0.001019368,0.614678899,0.05,0.562996203,0,0.697014925,0,0.556782879,3,None,0,0,0,0,0,0,0,0.460754332,0.266055046
baseline,Nsambya Estate,525,1.00E+10,0.900990099,0.069306931,0.01980198,0,0,0.00990099,0,0,0,0.00E+00,0,0,0,0,0,0.017821782,0.05,0.34,0,0.823529412,0,0.34,3,None,0,0,0,0,0,0,0,0,0.00990099
baseline,Nsambya Central,36730,1.00E+10,0.184196381,0.192856716,0.064862928,0.006450457,0.006510183,0.51573792,0.027653348,0,0,0,0.00E+00,0,0.000238906,0.000895897,0.000597265,0.472077883,0.05,0.258698051,0,0.759553762,0,0.247443913,3,None,0,0,0,0,0,0,0,0.213999881,0.329391387
baseline,Ntinda,5257,1.00E+10,0.284692418,0.539602029,0.034074652,0.000780336,0.031863701,0.106775914,0.001690727,0,0,0,0,0,0,0,0.000520224,0.068019248,0.05,0.232761766,0,0.883895936,0,0.229843123,3,None,0,0,0,0,0,0,0,0.037065938,0.071400702
baseline,Lubaga,22344,1.00E+10,0.002767528,0.414437269,0.078567036,0.002921279,0.016451415,0.464099016,0.017066421,0,0,0.000230627,0,0,0,0.001537515,0.001921894,0.290897909,0.05,0.392694064,0,0.833464878,0,0.385573872,3,None,0,0,0,0,0,0,0,0.219019065,0.262376999
baseline,Salaama,33130,1.00E+10,0.000314185,0.214117401,0.085667906,0.000418914,0.01911295,0.663559721,0.013143426,0,0,0,0,0,0,0.003298947,0.00036655,0.394250406,0.05,0.153154101,0,0.717985612,0,0.149892145,3,None,0,0,0,0,0,0,0,0.282976384,0.393726763
baseline,Upk,1192,1.00E+10,0.542028986,0.065217391,0,0,0,0.381884058,0.010869565,0,0,0,0,0,0,0,0,0.402173913,0.05,0.151898734,0,1,0,0.151898734,3,None,0,0,0,0,0,0,0,0.020289855,0.372463768
baseline,Upper Estate,2018,1.00E+10,0.225014961,0.33572711,0.135248354,0,0.011370437,0.289646918,0.00299222,0,0,0,0,0,0,0,0,0.251944943,0.05,0.098841699,0,0.689826303,0,0.095752896,3,None,0,0,0,0,0,0,0,0.021543986,0.271095153
baseline,Wabigalo,15265,1.00E+10,0.002360479,0.229303659,0.096273816,0,0.008598887,0.615073343,0.035069971,0,0,0.001011634,0,0,0,0.011633789,0.000674423,0.463665486,0.05,0.207905544,0,0.732356135,0,0.195242984,3,None,0,0,0,0,0,0,0,0.132355421,0.518799528
baseline,Wandegeya,7130,1.00E+10,0.698874296,0.090994371,0.021575985,0,0,0.183864916,0.001876173,0,0,0,0,0,0.00E+00,0.002814259,0,0.18011257,0.05,0.408805031,0,0.808333333,0,0.396226415,3,None,0,0,0,0,0,0,0,0.130393996,0.055347092
