GID,iso3,ID,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,sheddingRate_rota,shedding_duration_rota,incidence_urban_under5_rota,incidence_urban_5plus_rota,incidence_rural_under5_rota,incidence_rural_5plus_rota,sheddingRate_crypto,shedding_duration_crypto,incidence_urban_under5_crypto,incidence_urban_5plus_crypto,incidence_rural_under5_crypto,incidence_rural_5plus_crypto,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingTwinSlab_urb,compostingTwinNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingTwinSlab_rur,compostingTwinNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionQuaternarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa
ABW,ABW,1,Aruba,NA,105670,0.43410618,0.056946968,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
AFG,AFG,2,Afghanistan,0.496,36373176,0.254948922,0.14571669,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.045,0.337,0.041,0.007,0,0.408,0.151,NA,NA,0,0,NA,0,0.005,0.004,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.006,0.01,0.003,0.001,0,0.419,0.34,NA,NA,0,0,NA,0,0.177,0.044,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
AGO,AGO,3,Angola,0.574,30774205,0.655144073,0.176320719,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.117,0.756,0,0.04,0,0,0,NA,NA,0,0.004,NA,0,0.078,0.005,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.023,0.271,0,0.076,0,0,0,NA,NA,0,0.002,NA,0,0.628,0.001,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
AIA,AIA,4,Anguilla,NA,15045,1,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,0.833333333,0.166666667,0,NA,NA,0.783333333,0.566666667,0.20625,0.3575
ALA,ALA,5,Åland,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,ALB,6,Albania,0.791,2934363,0.603188835,0.057779554,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0008206,0.4005493,0.0003355,0.0003355,0.0003355,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0097448,0.3802184,0.0039846,0.0039846,0.0039846,0.1,3,None,Fresh Urine,0.4,0.6,0,NA,NA,0.87,0.74,0.112,0.182
AND,AND,7,Andorra,0.857,76953,0.880615441,NA,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0.1,3,None,Fresh Urine,0.06185567,0.577319588,0.360824742,NA,NA,0.952061856,0.882474227,0.030876289,0.045051546
ARE,ARE,8,United Arab Emirates,0.866,9541615,0.865224912,0.050466917,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66,0.41,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0.443037975,0.46835443,0.088607595,NA,NA,0.864936709,0.724556962,0.1195,0.19943038
ARG,ARG,9,Argentina,0.83,44688864,0.918704646,0.082676994,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66,0.41,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0.784313725,0.215686275,0,NA,NA,0.793137255,0.58627451,0.195588235,0.337647059
ARM,ARM,10,Armenia,0.76,2934152,0.631486372,0.069176785,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.953,0.003,0,0.009,0.001,0.011,0.024,NA,NA,0,0,NA,0,0,0,0.0026381,0.4487889,0.001195,0.001195,0.001195,0.1,3,None,Fresh Urine,0.284,0.057,0,0.052,0.003,0.147,0.458,NA,NA,0,0,NA,0,0,0,0.9,0.087567,0,NA,NA,0.1,3,None,Fresh Urine,0.457142857,0.542857143,0,NA,NA,0.858571429,0.717142857,0.124428571,0.205142857
