"","iso","iso3","subarea","hdi","population","fraction_urban_pop","fraction_pop_under5","sheddingRate_rota","shedding_duration_rota","sheddingRate_crypto","shedding_duration_crypto","incidence_urban_under5_rota","incidence_urban_5plus_rota","incidence_rural_under5_rota","incidence_rural_5plus_rota","incidence_urban_under5_crypto","incidence_urban_5plus_crypto","incidence_rural_under5_crypto","incidence_rural_5plus_crypto","flushSewer_urb","flushSeptic_urb","flushPit_urb","flushOpen_urb","flushUnknown_urb","pitSlab_urb","pitNoSlab_urb","compostingTwinSlab_urb","compostingTwinNoSlab_urb","compostingToilet_urb","bucketLatrine_urb","containerBased_urb","hangingToilet_urb","openDefecation_urb","other_urb","coverBury_urb","sewageTreated_urb","fecalSludgeTreated_urb","isWatertight_urb","hasLeach_urb","onsiteDumpedland_urb","emptyFrequency_urb","pitAdditive_urb","urine_urb","flushSewer_rur","flushSeptic_rur","flushPit_rur","flushOpen_rur","flushUnknown_rur","pitSlab_rur","pitNoSlab_rur","compostingTwinSlab_rur","compostingTwinNoSlab_rur","compostingToilet_rur","bucketLatrine_rur","containerBased_rur","hangingToilet_rur","openDefecation_rur","other_rur","coverBury_rur","sewageTreated_rur","fecalSludgeTreated_rur","isWatertight_rur","hasLeach_rur","onsiteDumpedland_rur","emptyFrequency_rur","pitAdditive_rur","urine_rur","FractionPrimarytreatment","FractionSecondarytreatment","FractionTertiarytreatment","FractionQuaternarytreatment","FractionPonds","fEmitted_inEffluent_after_treatment_viruses","fEmitted_inEffluent_after_treatment_protozoa"
"95",5095,"GUM","Guam",NA,165718,0.94779686,0.0802509731430298,1e+10,7,1e+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA
"96",5096,"GUY","Guyana",0.67,782225,0.26606539,0.0939077678851809,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.074,0.768,0.013,0.001,0,0.14,0,NA,NA,0,0,NA,0,0.001,0.003,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0.002,0.62,0.019,0,0,0.346,0,NA,NA,0,0,NA,0.002,0.007,0.004,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA
"97",5097,"HKG","Hong Kong",0.939,7428887,1,0.0483611551732509,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0178189,0.8829745,0.0169411,0.0169411,0.0169411,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0.872340425531915,0.127659574468085,0,NA,NA,0.214734042553191,0.373297872340426
"98",5098,"HMD","Heard Island and McDonald Islands",NA,NA,NA,NA,1e+10,7,1e+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",5099,"HND","Honduras",0.623,9417167,0.570957486,0.102681196469361,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.644,0.208,0,0.017,0.001,0.107,0,NA,NA,0.006,0,NA,0,0.017,0,0.0858043,0.2265949,0.0327772,0.0327772,0.0327772,0.1,3,"None","Fresh Urine",0.03,0.264,0,0.017,0.008,0.538,0,NA,NA,0,0,NA,0,0.142,0.001,NA,0.0212822,NA,NA,NA,0.1,3,"None","Fresh Urine",0.775,0.225,0,NA,NA,0.1935625,0.333875
"100",5100,"HRV","Croatia",0.837,4164783,0.569466885,0.0448572419632531,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0580755,0.5441206,0.0404948,0.0404948,0.0404948,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1965778,NA,NA,NA,0.1,3,"None","Fresh Urine",0.478260869565217,0.521739130434783,0,NA,NA,0.129021739130435,0.213695652173913
"101",5101,"HTI","Haiti",0.503,11112945,0.552779484,0.110759863619776,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.006,0.245,0.023,0.001,0.001,0.517,0.098,NA,NA,0,0,NA,0.01,0.093,0.004,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0,0.028,0.002,0,0,0.359,0.237,NA,NA,0,0,NA,0.012,0.358,0.003,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA
"102",5102,"HUN","Hungary",0.845,9688847,0.71350719,0.047735537532284,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047063,0.8525052,0.047063,0.047063,0.047063,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1916059,0.5994743,0.1906479,0.1906479,0.1906479,0.1,3,"None","Fresh Urine",0.114285714285714,0.4,0.485714285714286,NA,NA,0.0396571428571429,0.0662857142857143
"103",5103,"IDN","Indonesia",0.707,266794980,0.553245065,0.0864945261893853,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.095,0.792,0,0.058,0.003,0.013,0.003,NA,NA,0,0,NA,0.006,0.024,0.007,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0.135,0.579,0,0.029,0.003,0.049,0.016,NA,NA,0,0,NA,0.035,0.135,0.018,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA
"104",5104,"IMN","Isle of Man",NA,84831,0.525880869,NA,1e+10,7,1e+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA
