sanitation_facility,category
2. A una cámara séptica?,flushSeptic
Chasse branchée a fosse septique,flushSeptic
Connectée à fosse septique,flushSeptic
toilet connected to septic well,flushSeptic
Chase d'eau avec égout ou avec fosse septique,flushSeptic
Inodoro conectado al tanque séptico,flushSeptic
Flush to septic system,flushSeptic
Flush to manhole/septic tank,flushSeptic
chasse d'eau avec fosse septique,flushSeptic
Casa de banho ligado a fossa séptica,flushSeptic
Inodoro conectado a pozo septico,flushSeptic
 Letrina con pozo septico,flushSeptic
 Inodoro conectado a pozo septico,flushSeptic
Flush toilet connected to a septic tank,flushSeptic
....flush -to septic tank,flushSeptic
Private with septic tank,flushSeptic
Private - with septic tank,flushSeptic
FLUSH / POUR FLUSH: FLUSH TO SEPTIC TANK,flushSeptic
Excusado conectado a tanque séptico,flushSeptic
Chasse branchée à fosse septique,flushSeptic
Pit latrine with watertight tank,flushSeptic
Flush/pour flush: Flush to septic tank,flushSeptic
Chasse connectee ? fosse septique,flushSeptic
Flust toilet (septic tank),flushSeptic
Sumidero o pozo septico,flushSeptic
Servicio conectado a tanque séptico o a fosa séptica,flushSeptic
Septic well,flushSeptic
Flush toilet to septic tank,flushSeptic
"Arrastre de agua, cámara séptica y pozo ciego(absorbente)",flushSeptic
"Con arrastre de agua, cámara séptica y pozo ciego (absorbent",flushSeptic
"Con arrastre de agua, cámara séptica y pozo ciego(absorbente)",flushSeptic
Cámara séptica y pozo ciego,flushSeptic
chasse d'eau avec egouts ou fosse sceptique,flushSeptic
Chasse avec fossee,flushSeptic
Inodoro conectado a tanque séptico,flushSeptic
Latrina com fossa sceptica,flushSeptic
Fosse ‚tanche,flushSeptic
Chasse d'eau ou fosse septique,flushSeptic
Inodoro conectado a fosa séptica o pozo impermeable,flushSeptic
Flush - to piped sewer system,flushSewer
Flush to piped sewer system,flushSewer
Flush toilet to sewer system,flushSewer
Piped sewage system,flushSewer
Indoors: Latrine to piped public system,flushSewer
Inside yard: Flush to piped public system,flushSewer
Indoors: Flush to piped public system,flushSewer
Out of yard: Flush to piped public system,flushSewer
Out of yard: Latrine to piped public system,flushSewer
Inside yard: Latrine to piped public system,flushSewer
Chasse branchee a l'egout,flushSewer
flush toilet connected to sewer system,flushSewer
Chasse connectée à système d'égouts,flushSewer
Sewage system,flushSewer
1. A la red de alcantarillado?,flushSewer
Chasse branchée a l'égoût,flushSewer
Chasse branchee a egout,flushSewer
chasse raccordee & l'egout,flushSewer
Toilet to sewer,flushSewer
toilet connected to sewer,flushSewer
Inodoro conectado al alcantarillado,flushSewer
Inodoro con descarga al alcantarillado público o cloaca,flushSewer
flush toilet piped to sewer system,flushSewer
chasse d'eau avec égout,flushSewer
Casa de banho ligado ao esgoto,flushSewer
Flush to piper sewer,flushSewer
Inodoro conectado ared de alcantarilla,flushSewer
Inodoro conectado a alcantarilla,flushSewer
 Inodoro conectado a alcantarilla,flushSewer
....flush - to piped sewer system,flushSewer
FLUSH / POUR FLUSH: FLUSH TO PIPED SEWER SYSTEM,flushSewer
Sewage sytem,flushSewer
Sewage,flushSewer
Excusado conectado al alcantarillado,flushSewer
Chasse branchée à l'égout,flushSewer
Flush/pour flush: Flush to piped sewer system,flushSewer
Retrete com autoclismo Sistema de esgoto geral,flushSewer
Flush to piped sewer,flushSewer
Chasse connectee ? syst?me d'egouts,flushSewer
Connectée à système d?égouts,flushSewer
Flush toilet (sewer),flushSewer
Tubería de aguas negra,flushSewer
Flush to sewer system,flushSewer
Servicio conectado al alcantarillado,flushSewer
Flush toilet to piped sewer system,flushSewer
"Arrastre de agua, red de alcantarillado sanitario",flushSewer
"Con arrastre de agua, red de alcantarillado sanitario",flushSewer
Red de alcantarillado sanitario(cloaca),flushSewer
Chasse raccordee … l'egout,flushSewer
Yes and connected to sewage,flushSewer
Conectada ao sistema de esgoto,flushSewer
wc linked to sewer,flushSewer
11,flushSewer
Inodoro conectado a red de saneamiento,flushSewer
Flushed to piped sewer system,flushSewer
Flush - to somewhere else,flushUnknown
Flush - don't know where,flushUnknown
Flush to somewhere else,flushUnknown
Flush to unknown place / Not sure / DK where,flushUnknown
"Flush, don't know where",flushUnknown
Flush/pour flush toilet to elsewhere,flushUnknown
Water flow do not know where,flushUnknown
Own flush toilet,flushUnknown
Flush toilet,flushUnknown
flush toilet not connected to sewer system,flushUnknown
Chasse reliée à autre chose,flushUnknown
Chasse reliée à endroit inconnu / Pas sûr / NSP où,flushUnknown
Flush to unknown place/not sure/DK where,flushUnknown
5. No sabe?,flushUnknown
Chasse branchée a autre chose,flushUnknown
Chasse branchée a endroit inconnu/pas sûre,flushUnknown
Chasse reliée à endroit inconnu / Pas sûr / Ne sait pas où,flushUnknown
Chasse branchee a autre chose,flushUnknown
Reliée à endroit inconnu/pas sûr/NSP où,flushUnknown
Reliée à endroit inconnu/pas sûr/ NSP où,flushUnknown
Inodoro con descarga a lugar desconocido,flushUnknown
flush toilet piped to somewhere else,flushUnknown
flush toilet piped unknown place/not sure/dk where,flushUnknown
"Flush , don't know where",flushUnknown
LATRINA COM AUTOCLISMO,flushUnknown
Flush don't know where,flushUnknown
Flush to elsewhere,flushUnknown
Flush toilet does not know connection,flushUnknown
....flush - don't know,flushUnknown
Private with no septic tank,flushUnknown
Private - without septic tank,flushUnknown
FLUSH / POUR FLUSH: FLUSH TO DK WHERE,flushUnknown
Shared flush toilet,flushUnknown
pour flush latrine( water seal type),flushUnknown
Pour Flush,flushUnknown
Chasse branchée à autre chose,flushUnknown
Chasse branchée à un endroit inconnu/pas sûr,flushUnknown
Flush/pour flush: Flush to somewhere else,flushUnknown
Retrete com autoclismo Nao sabe,flushUnknown
Retrete com autoclismo Sem info,flushUnknown
"Toilet without flush, don't know where",flushUnknown
Toilet with flush,flushUnknown
Chasse branchee a un endroit inconnu,flushUnknown
Chasse reliee ? endroit inconnu / Pas s?r / NSP o?,flushUnknown
Share flush toilet outside/yard,flushUnknown
Own flush toilet outsite/yard,flushUnknown
Share flush toilet into residence,flushUnknown
Own flust toilet into residence,flushUnknown
Inside dwelling,flushUnknown
Flush toilet: own,flushUnknown
Flush toilet: shared,flushUnknown
Flush toilet to somewhere else,flushUnknown
Flush toilet with drainage,flushUnknown
Yes and not connected to sewage,flushUnknown
Flush or pour flush toilet,flushUnknown
Private flush toilet,flushUnknown
Chasse branchee a endroit inconnu,flushUnknown
Flush and moulded-Private,flushUnknown
Flush latrine-Private,flushUnknown
Flush and moulded-Shared,flushUnknown
Flush latrine-Shared,flushUnknown
pour flush latrine (water seal type),flushUnknown
wc not linked to sewer,flushUnknown
Flush other,flushUnknown
flush to unknown place,flushUnknown
Hanging toilet/latrine,hangingToilet
Toilettes / Latrines suspendues,hangingToilet
hanging latrine,hangingToilet
Hanging toilet/hanging latrine,hangingToilet
"Hanging toilet, Hanging latrine",hangingToilet
Toilette suspendues/latrines suspendues,hangingToilet
traditional toilet to sea/river (low tide),hangingToilet
"Inodoro colgante, Letrina colgante",hangingToilet
Hanging toilet / hanging latrine,hangingToilet
Hanging toilet/ hanging letrine,hangingToilet
Hanging toilet,hangingToilet
Toilet hanging (on stilts),hangingToilet
"Excusado colgante, Letrina colgante",hangingToilet
Hanging letrine (colgante),hangingToilet
Servicio colgante sobre el río o el mar,hangingToilet
Latrine over river/lake,hangingToilet
Drop/Hanging toilet,hangingToilet
No facility/bush/field,openDefecation
"No facility, Bush, Field",openDefecation
"No facility - open field, bush",openDefecation
"capim, mato, ar livre",openDefecation
No facility,openDefecation
No facility/outdoors/bush,openDefecation
No facility/ Bush/ Field,openDefecation
Manquant,openDefecation
Pas de toilettes ou brousse ou champ,openDefecation
"no toilet, in nature",openDefecation
No facilities or bush or field,openDefecation
Pas de toilettes/dans la nature,openDefecation
"Pas de toilettes,nature",openDefecation
pas de toilettes/brousse,openDefecation
"Pas de toilettes, nature",openDefecation
no toilet facility,openDefecation
Pas de toilette ou brousse ou champ,openDefecation
"No hay instalación sanitaria, va al monte, campo",openDefecation
"No tiene sanitario, usa matorral/campo",openDefecation
No tiene sanitario/usa el río,openDefecation
No hay instalación sanitaria,openDefecation
"Nature, plein air",openDefecation
..No facility,openDefecation
No facility/Field,openDefecation
No facility / bush / field,openDefecation
No toilet/bush,openDefecation
No facilities (bush/beach/field),openDefecation
nature,openDefecation
"Pas de toilettes, brousse, nature",openDefecation
no facilities/bush/field,openDefecation
No mato ou ar livre,openDefecation
ENTERRA AS FEZES NO QUINTAL,openDefecation
NO MATO (NATUREZA),openDefecation
ENTERRA AS FEZES FORA DO QUINTAL,openDefecation
Não tem casa de banho,openDefecation
"No toilet, use bush or field",openDefecation
No tiene,openDefecation
Open Defecation,openDefecation
 No tiene,openDefecation
"open, rudimentary",openDefecation
"no facility, nature",openDefecation
....not facility,openDefecation
Bush/forest/yard/field/no facility,openDefecation
River/stream/creek,openDefecation
Yard/bush/forest,openDefecation
Pond/lake,openDefecation
Bush/forest,openDefecation
Beach/sea,openDefecation
Gutter/drain,openDefecation
No toilet/field/forest,openDefecation
No toilet,openDefecation
"Pas de toilettes , nature",openDefecation
No facilities,openDefecation
No flush toilet,openDefecation
Na praia,openDefecation
No mato,openDefecation
No facility/bush,openDefecation
"No facility/bush, field",openDefecation
Bush / field,openDefecation
River,openDefecation
Bush/field (Abonera),openDefecation
Río / Quebrada,openDefecation
"No hay servicio sanitario, va al monte, campo",openDefecation
River/canal,openDefecation
No service,openDefecation
"River, canal",openDefecation
No toilet/field/bush,openDefecation
No facility/ bush/ field/ river,openDefecation
"No hay instalación sanitaria, va al monte o campo",openDefecation
"La calle, patio/terreno o en algún otro lugar",openDefecation
pas de toillettes dans parcelle/brousse/champ,openDefecation
Dans la nature,openDefecation
Stream/river,openDefecation
Baldeo a otra parte,openDefecation
No hay instalacion sanitaria,openDefecation
"Mato, praia ou campo",openDefecation
No facility/bush/field/beach,openDefecation
Em falta,openDefecation
NÃ£o tem casa de banho/mato,openDefecation
"No facility, Bush, Field, Flying toilet (plastic)",openDefecation
