gid,iso,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,sheddingRate_virus,shedding_duration_virus,incidence_urban_under5_virus,incidence_urban_5plus_virus,incidence_rural_under5_virus,incidence_rural_5plus_virus,sheddingRate_protozoa,shedding_duration_protozoa,incidence_urban_under5_protozoa,incidence_urban_5plus_protozoa,incidence_rural_under5_protozoa,incidence_rural_5plus_protozoa,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,onsiteDumpedland_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,onsiteDumpedland_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa,notes1,notes2,notes3
GBR,GBR,United Kingdom,0.92,66573504,0.833983832,0.057810002,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.996,0,0,0,0,0,0,0,0,NA,0,0,0.004,0.000434,0.988752,0.000434,0,0,3,0,0,0,0.1,0.993,0,0,0,0,0,0,0,0,NA,0,0,0.007,0.0404621,0.8370647,0.0404621,0,0,3,0,0,0,0.1,0,0.510204082,0.489795918,NA,0.969591837,0.909795918,0.014714286,0.02,,,
GEO,GEO,Georgia,0.786,3907131,0.586321779,0.067268295,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.872,0,0,0.021,0,0.107,0,0,0,NA,0,0,0,0.0549422,0.099679589,0.0063738,0,0,3,0,0,0,0.1,0.071,0,0,0.139,0,0.789,0,0,0,NA,0,0,0,0.9,0.016743211,0,0,0,3,0,0,0,0.1,0.810810811,0.189189189,0,NA,0.787837838,0.575675676,0.201351351,0.348378378,,,
GGY,GGY,Guernsey,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Data,,
GHA,GHA,Ghana,0.596,29463643,0.560596665,0.134182196,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.036,0.2815,0.0205,0.003,0.001,0.4715,0.106,0.001,0.002,NA,0,0.0745,0.0035,0,0.065103609,0.2,0,0,3,0,0,0,0.1,0.006,0.032,0.0045,0.0005,0,0.3445,0.288,0.001,0.0005,NA,0.0005,0.3205,0.003,0.9,0.065103609,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
GIB,GIB,Gibraltar,NA,34733,1,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.22,0.2,0,0,3,0,0,0,0.1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.22,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,"Rural sanitation technologies data was not available, so national data was used."
GIN,GIN,Guinea,0.466,13052608,0.361396818,0.15991352,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.027,0.245,0.073,0,0.001,0.526,0.099,0.003,0,NA,0.021,0.004,0,0,0.019319255,0.2,0,0,3,0,0,0,0.1,0.001,0.026,0.025,0,0,0.26,0.408,0.011,0.001,NA,0.054,0.212,0,0.9,0.019319255,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
GLP,GLP,Guadeloupe,NA,449173,0.98473862,0.057224331,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0.387,0.459,0.126,0,0,0.027,0,0,0,NA,0,0,0.001,0,0.22,0.2,0,0,3,0,0,0,0.1,0.387,0.459,0.126,0,0,0.027,0,0,0,NA,0,0,0.001,0,0.22,0,0,0,3,0,0,0,0.1,0.971428571,0.028571429,0,NA,0.755714286,0.511428571,0.236285714,0.413428571,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
GMB,GMB,Gambia,0.466,2163765,0.612695926,0.169450946,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.0355,0.2815,0.018,0,0,0.434,0.2205,0,0.002,NA,0,0.0035,0.005,0,0.019319255,0.2,0,0,3,0,0,0,0.1,0,0.021,0.0035,0,0,0.3815,0.541,0,0,NA,0,0.0475,0.006,0.9,0.019319255,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
GNB,GNB,Guinea-Bissau,0.461,1907268,0.433601361,0.155036235,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.016,0.28,0,0.014,0,0.668,0,0,0,NA,0,0.017,0.003,0,0.034676542,0.2,0,0,3,0,0,0,0.1,0.007,0.013,0,0.001,0,0.672,0,0,0,NA,0,0.302,0.004,0.9,0.021136178,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
GNQ,GNQ,Equatorial Guinea,0.588,1313894,0.721428822,0.142305869,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.056041993,0.2,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.056041993,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,No Data,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
