gid,iso,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,sheddingRate_virus,shedding_duration_virus,incidence_urban_under5_virus,incidence_urban_5plus_virus,incidence_rural_under5_virus,incidence_rural_5plus_virus,sheddingRate_protozoa,shedding_duration_protozoa,incidence_urban_under5_protozoa,incidence_urban_5plus_protozoa,incidence_rural_under5_protozoa,incidence_rural_5plus_protozoa,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,onsiteDumpedland_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,onsiteDumpedland_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa,notes1,notes2,notes3
ITA,ITA,Italy,0.883,59290969,0.704375383,0.038448953,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.993,0,0,0,0,0,0,0,0,NA,0,0,0.007,0.0247105,0.913828,0.0240516,0,0,3,0,0,0,0.1,0.992,0,0,0,0,0,0,0,0,NA,0,0,0.008,0.0291707,0.9033185,0.0283928,0,0,3,0,0,0,0.1,0.043478261,0.347826087,0.608695652,NA,0.965652174,0.894782609,0.021673913,0.037608696,,,
JAM,JAM,Jamaica,0.726,2898677,0.556741921,0.077950169,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.388,0,0.502,0,0,0.099,0,0,0,NA,0,0.011,0.001,0,0.1222953,0.2,0,0,3,0,0,0,0.1,0.021,0,0.588,0,0,0.379,0,0,0,NA,0,0.005,0.007,0.9,0.0254565,0,0,0,3,0,0,0,0.1,0.75,0.25,0,NA,0.8,0.6,0.188125,0.32375,,,
JEY,JEY,Jersey,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Data,,
JOR,JOR,Jordan,0.723,9903802,0.909789291,0.103705526,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.734,0.265,0,0,0,0,0,0,0,NA,0,0,0,0.0715118,0.6889953,0.0715118,0,0,3,0,0,0,0.1,0.068,0.931,0,0,0,0,0,0,0,NA,0,0.001,0,0.9,0.1250572,0,0,0,3,0,0,0,0.1,0.482142857,0.464285714,0.053571429,NA,0.855714286,0.708214286,0.128741071,0.215267857,,,
JPN,JPN,Japan,0.915,127185332,0.916155371,0.037781585,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.74,0.203,0,0,0,0.057,0,0,0,NA,0,0,0,0,0.973256611,0.9,0,0,3,0,0,0,0.1,0.74,0.203,0,0,0,0.057,0,0,0,NA,0,0,0,0,0.973256611,0.9,0,0,3,0,0,0,0.1,0,0.743243243,0.256756757,NA,0.96027027,0.905135135,0.019608108,0.02,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
KAZ,KAZ,Kazakhstan,0.817,18403860,0.574280613,0.102264151,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.636,0.052,0.026,0,0,0.285,0.001,0,0,NA,0,0,0,0.1546609,0.5997312,0.150895,0,0,3,0,0,0,0.1,0.061,0.048,0.016,0,0,0.863,0.009,0,0,NA,0,0.001,0.002,0,0.0201686,0.9,0,0,3,0,0,0,0.1,0.815789474,0.184210526,0,NA,0.786842105,0.573684211,0.202434211,0.350394737,,,
KEN,KEN,Kenya,0.579,50950879,0.270295729,0.13100602,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.21,0.143,0.02,0.029,0.038,0.374,0.176,0,0,NA,0,0.01,0,0,0.058961919,0.2,0,0,3,0,0,0,0.1,0.006,0.009,0.013,0.004,0.001,0.357,0.474,0.011,0,NA,0.005,0.118,0.004,0.9,0.086345907,0,0,0,3,0,0,0,0.1,0.6,0.4,0,NA,0.83,0.66,0.1555,0.263,,,
KGZ,KGZ,Kyrgyzstan,0.674,6132932,0.363507862,0.116528624,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.356,0.009,0.007,0,0,0.615,0.013,0,0,NA,0,0,0,0,0.3321959,0.2,0,0,3,0,0,0,0.1,0.018,0,0.001,0,0,0.965,0.015,0,0,NA,0,0,0,0.9,0.0019178,0,0,0,3,0,0,0,0.1,0.9,0.1,0,NA,0.77,0.54,0.22075,0.3845,,,
KHM,KHM,Cambodia,0.581,16245729,0.233878147,0.106404694,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.515,0.421,0,0,0,0.01,0,0,0,NA,0.004,0.051,0,0,0.052719994,0.2,0,0,3,0,0,0,0.1,0.034,0.635,0,0,0,0.036,0.001,0,0,NA,0.006,0.286,0.001,0.9,0.052719994,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
KIR,KIR,Kiribati,0.623,118414,0.540569527,0.126919277,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.265,0.389,0,0,0,0.079,0,0,0,NA,0,0.223,0.044,0,0.076068464,0.2,0,0,3,0,0,0,0.1,0.015,0.353,0,0,0,0.081,0,0,0,NA,0,0.526,0.025,0.9,0.076068464,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
KNA,KNA,Saint Kitts and Nevis,0.777,55850,0.30775291,NA,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.291773197,0.2,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.291773197,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,No Data,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
KOR,KOR,South Korea,0.906,51164435,0.814593692,0.037000999,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.929,0.043,0,0,0,0.028,0,0,0,NA,0,0,0,0,0.899718808,0.9,0,0,3,0,0,0,0.1,0.929,0.043,0,0,0,0.028,0,0,0,NA,0,0,0,0,0.899718808,0.9,0,0,3,0,0,0,0.1,0,0.415730337,0.584269663,NA,0.973370787,0.911685393,0.012730337,0.02,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
KWT,KWT,Kuwait,0.808,4197128,1,0.067833913,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0.382447458,0.9,0,0,3,0,0,0,0.1,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0.382447458,0.9,0,0,3,0,0,0,0.1,0.46,0.46,0.08,NA,0.8612,0.7176,0.12337,0.2063,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
LAO,LAO,Laos,0.604,6961210,0.3500413,0.109529361,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.013,0.223,0.698,0.013,0.005,0.002,0,0,0,NA,0,0.042,0.003,0.6144936,0.0188794,0,0,0,3,0,0,0,0.1,0.009,0.055,0.571,0.015,0.009,0.005,0.004,0.001,0,NA,0,0.326,0.006,0.5545542,0.0086848,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
LBN,LBN,Lebanon,0.73,6093509,0.885928125,0.082943639,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.657,0,0,0.021,0,0.321,0,0,0,NA,0,0,0.001,0,0.199767372,0.2,0,0,3,0,0,0,0.1,0.657,0,0,0.021,0,0.321,0,0,0,NA,0,0,0.001,0.9,0.199767372,0,0,0,3,0,0,0,0.1,0.444444444,0.472222222,0.083333333,NA,0.864444444,0.723888889,0.119916667,0.2,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
LBR,LBR,Liberia,0.465,4853516,0.511514127,0.146409705,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.017,0.253,0.024,0,0.009,0.287,0.066,0,0.004,NA,0.084,0.248,0.006,0,0.019151342,0.2,0,0,3,0,0,0,0.1,0,0.02,0.003,0,0.001,0.192,0.058,0,0,NA,0.017,0.709,0,0.9,0.019151342,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
LBY,LBY,Libya,0.708,6470956,0.801019664,0.090812391,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.678,0.083,0,0,0,0.236,0,0,0,NA,0,0.001,0.002,0,0.159754982,0.2,0,0,3,0,0,0,0.1,0.678,0.083,0,0,0,0.236,0,0,0,NA,0,0.001,0.002,0.9,0.159754982,0,0,0,3,0,0,0,0.1,0.829268293,0.170731707,0,NA,0.784146341,0.568292683,0.205365854,0.355853659,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
LCA,LCA,Saint Lucia,0.745,179667,0.186773308,0.058955829,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.11,0.738,0,0,0.002,0.084,0,0,0.011,NA,0,0.052,0.003,0,0.220662146,0.2,0,0,3,0,0,0,0.1,0.038,0.71,0.004,0,0.002,0.235,0.001,0,0.001,NA,0,0.009,0,0.9,0.220662146,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
LIE,LIE,Liechtenstein,0.917,38155,0.1433626,NA,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.987,0.012,0,0,0,0,0,0,0,NA,0,0,0.001,0,0.990397897,0.9,0,0,3,0,0,0,0.1,0.987,0.012,0,0,0,0,0,0,0,NA,0,0,0.001,0,0.990397897,0.9,0,0,3,0,0,0,0.1,0,0.18556701,0.81443299,NA,0.98257732,0.91628866,0.007896907,0.02,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
LKA,LKA,Sri Lanka,0.78,20950041,0.18475582,0.077541242,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0,0,0,0,0,0.935,0,0,0,NA,0,0,0.066,0,0.299515233,0.2,0,0,3,0,0,0,0.1,0,0,0,0,0,0.919,0,0,0,NA,0,0.005,0.077,0.9,0.299515233,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
LSO,LSO,Lesotho,0.518,2263010,0.281528142,0.118339486,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.019,0.039,0.009,0.001,0.001,0.647,0.192,0,0,NA,0,0.093,0,0,0.032019003,0.2,0,0,3,0,0,0,0.1,0.004,0.003,0.005,0,0.002,0.416,0.226,0,0,NA,0,0.344,0,0.9,0.030418053,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
LTU,LTU,Lithuania,0.869,2876475,0.676787387,0.053307306,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.956,0,0,0,0,0,0,0,0,NA,0,0,0.044,0,0.9515712,0,0,0,3,0,0,0,0.1,0.587,0,0,0,0,0,0,0,0,NA,0,0,0.413,0.0335151,0.7668689,0.0327729,0,0,3,0,0,0,0.1,0.054054054,0.202702703,0.743243243,NA,0.968918919,0.893243243,0.021148649,0.041891892,,,
LUX,LUX,Luxembourg,0.909,590321,0.909813474,0.053115455,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,1,0,0,0,0,0,0,0,0,NA,0,0,0,0.0000187,0.9738622,0.0000187,0,0,3,0,0,0,0.1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0.0470271,0.7986541,0.046984,0,0,3,0,0,0,0.1,0.041237113,0.515463918,0.443298969,NA,0.959484536,0.892371134,0.024659794,0.036701031,,,
LVA,LVA,Latvia,0.854,1929938,0.681418263,0.060449517,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.966,0,0,0,0,0,0,0,0,NA,0,0,0.034,0.0020314,0.8979612,0.0019118,0,0,3,0,0,0,0.1,0.744,0,0,0,0,0,0,0,0,NA,0,0,0.256,0.0220274,0.7223682,0.0207295,0,0,3,0,0,0,0.1,0.030769231,0.384615385,0.584615385,NA,0.967230769,0.899384615,0.019415385,0.032461538,,,
MAC,MAC,Macao,NA,632418,1,0.055337557,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.2,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,No Data,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
MAF,MAF,Saint-Martin,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Data,,
MAR,MAR,Morocco,0.676,36191805,0.624526547,0.090083656,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.79,0.11,0.031,0,0,0,0,0,0,NA,0,0,0.069,0.0334944,0.3545457,0.014264,0,0,3,0,0,0,0.1,0.017,0.364,0.188,0,0,0,0,0,0,NA,0,0,0.427,0.9,0.000536,0,0,0,3,0,0,0,0.1,0.8,0.2,0,NA,0.79,0.58,0.199,0.344,,,
MCO,MCO,Monaco,NA,38897,1,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,3,0,0,0,0.1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.22,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,"Rural sanitation technologies data was not available, so national data was used."
MDA,MDA,Moldova,0.711,4041065,0.42628515,0.050203733,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.732,0.173,0,0,0,0,0,0,0,NA,0,0,0.095,0.0938858,0.5976136,0.0874781,0,0,3,0,0,0,0.1,0.023,0.419,0,0,0,0,0,0,0,NA,0,0,0.558,0.9,0.0284204,0,0,0,3,0,0,0,0.1,0.5,0.5,0,NA,0.85,0.7,0.13375,0.2225,,,
MDG,MDG,Madagascar,0.521,26262810,0.371905558,0.148402881,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.008,0.142,0.005,0.001,0.001,0.148,0.466,0.018,0.006,NA,0.01,0.197,0,0,0.035128326,0.2,0,0,3,0,0,0,0.1,0.005,0.011,0.008,0.001,0.001,0.091,0.437,0.01,0.001,NA,0.019,0.416,0,0.9,0.037470214,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
MDV,MDV,Maldives,0.719,444259,0.398080849,0.065820972,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.982,0,0.013,0,0.003,0,0,0,0,NA,0,0,0.002,0,0.175856053,0.2,0,0,3,0,0,0,0.1,0.383,0.594,0.006,0.011,0,0.002,0,0,0,NA,0,0.001,0.001,0.9,0.180906749,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
MEX,MEX,Mexico,0.767,130759074,0.801561947,0.084995796,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.882,0.0895,0,0.005,0,0.011,0,0,0,NA,0,0.01,0.002,0.0212288,0.492007033,0.0121616,0,0,3,0,0,0,0.1,0.3055,0.439,0,0.0185,0,0.147,0,0,0,NA,0,0.0765,0.014,0.9,0.192091911,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
MHL,MHL,Marshall Islands,0.698,53167,0.77030865,NA,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.5,0.453,0.001,0.004,0,0.007,0,0,0,NA,0,0.035,0,0,0.147571743,0.2,0,0,3,0,0,0,0.1,0.03,0.567,0.029,0.007,0,0.02,0,0,0,NA,0,0.347,0,0.9,0.180560664,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
MKD,MKD,Macedonia,0.759,2085051,0.579632345,0.053702637,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.981,0.011,0,0,0,0.006,0.001,0,0,NA,0,0,0.001,0,0.082,0,0,0,3,0,0,0,0.1,0.358,0.357,0.016,0.072,0.011,0.124,0.035,0.01,0,NA,0.001,0.013,0.003,0.9,0.037116087,0,0,0,3,0,0,0,0.1,0.6,0.3,0.1,NA,0.834,0.662,0.1534,0.263,,,
MLI,MLI,Mali,0.427,19107706,0.423563143,0.178042741,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081946,0.0091684,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2553843,0,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,No Data,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
MLT,MLT,Malta,0.885,432089,0.946122211,0.049087397,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.929817,0,0,0,3,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.93025,0,0,0,3,0,0,0,0.1,0,1,0,NA,0.95,0.9,0.025,0.02,Error (check),,
MMR,MMR,Myanmar,0.584,53855735,0.30578658,0.082862949,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0,0,0.871,0,0.052,0.038,0,0,0.01,NA,0,0.026,0.003,0,0.054118889,0.2,0,0,3,0,0,0,0.1,0,0,0.664,0,0.009,0.094,0,0,0.033,NA,0,0.19,0.01,0.9,0.054118889,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
MNE,MNE,Montenegro,0.816,629219,0.668134624,0.058761715,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.634,0.343,0.001,0.002,0,0.005,0.001,0,0,NA,0,0.001,0.014,0.0962349,0.174991086,0.0274109,0,0,3,0,0,0,0.1,0.177,0.702,0.002,0.039,0,0.052,0.003,0,0,NA,0,0.001,0.024,0,0.052042454,0.9,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
MNG,MNG,Mongolia,0.735,3121772,0.684454214,0.114529151,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.341,0.003,0.001,0,0,0.636,0.011,0.001,0,NA,0,0.005,0.001,0,0.0890717,0.2,0,0,3,0,0,0,0.1,0.032,0.001,0.001,0,0,0.574,0.138,0,0,NA,0,0.252,0.002,0.9,0.0087356,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
MNP,MNP,Northern Mariana Islands,NA,55194,0.916186542,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0.384,0.577,0,0,0,0,0,0,0,NA,0,0.002,0.037,0,0.22,0.2,0,0,3,0,0,0,0.1,0.384,0.577,0,0,0,0,0,0,0,NA,0,0.002,0.037,0,0.22,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
MOZ,MOZ,Mozambique,0.446,30528673,0.359878728,0.164983402,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0,0.188,0,0,0,0.39,0.295,0,0,NA,0,0.127,0,0,0.016224335,0.2,0,0,3,0,0,0,0.1,0,0.007,0,0,0,0.125,0.382,0,0,NA,0,0.485,0,0.1627129,0,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
MRT,MRT,Mauritania,0.527,4540068,0.536719714,0.148370849,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.043,0.156,0.227,0,0.003,0.309,0.119,0.001,0,NA,0.005,0.116,0.021,0,0.032904248,0.2,0,0,3,0,0,0,0.1,0.003,0.023,0.082,0,0.005,0.112,0.125,0.008,0,NA,0.003,0.627,0.013,0.9,0.032904248,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSR,MSR,Montserrat,NA,5203,0.090716894,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0.142,0.73,0,0,0,0.065,0,0,0,NA,0,0.037,0.026,0,0.22,0.2,0,0,3,0,0,0,0.1,0.142,0.73,0,0,0,0.065,0,0,0,NA,0,0.037,0.026,0,0.22,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
MTQ,MTQ,Martinique,NA,385065,0.890493813,0.048906773,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0.455,0.512,0.008,0,0,0.025,0,0,0,NA,0,0,0,0,0.22,0.2,0,0,3,0,0,0,0.1,0.455,0.512,0.008,0,0,0.025,0,0,0,NA,0,0,0,0,0.22,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
MUS,MUS,Mauritius,0.796,1268315,0.407932572,0.050361426,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3485226,0.2,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.0384499,0,0,0,3,0,0,0,0.1,0.9,0.1,0,NA,0.77,0.54,0.22075,0.3845,No Data,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
MWI,MWI,Malawi,0.485,19164728,0.169370158,0.152846308,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.028,0.134,0.007,0,0,0.385,0.433,0.001,0,NA,0,0.013,0,0,0.022804612,0.2,0,0,3,0,0,0,0.1,0,0.001,0.001,0,0,0.101,0.824,0.002,0,NA,0.001,0.07,0,0.9,0.022804612,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
MYS,MYS,Malaysia,0.804,32042458,0.76035771,0.081416028,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.77,0.23,0,0,0,0,0,0,0,NA,0,0,0,0,0.36932362,0.9,0,0,3,0,0,0,0.1,0.77,0.23,0,0,0,0,0,0,0,NA,0,0,0,0,0.36932362,0.9,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
MYT,MYT,Mayotte,NA,259682,0.461475959,0.132244431,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0.185,0.353,0,0,0,0,0,0,0,NA,0,0,0.462,0,0.22,0.2,0,0,3,0,0,0,0.1,0.185,0.353,0,0,0,0,0,0,0,NA,0,0,0.462,0,0.22,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
NAM,NAM,Namibia,0.645,2587801,0.500324793,0.132266474,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.638,0.018,0.037,0.005,0.002,0.045,0.023,0,0.003,NA,0,0.222,0.008,0,0.092896802,0.2,0,0,3,0,0,0,0.1,0.068,0.012,0.014,0.008,0.001,0.113,0.046,0,0.003,NA,0,0.735,0,0.9,0.103018483,0,0,0,3,0,0,0,0.1,0.740740741,0.259259259,0,NA,0.801851852,0.603703704,0.186111111,0.32,,,
NCL,NCL,New Caledonia,NA,279821,0.706834012,0.069347195,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.2,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,No Data,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
